Number,power (%),df (mm),frequency (kHz),speed (mm/s),predict_R (ohm),R(ohm),label
1,25.5,2.4,300,60,250,500,2
2,22.5,1.5,500,70,250,500,2
3,4,1,350,90,250,500,1
4,17,3,400,35,250,500,2
5,19.5,3.2,200,65,250,500,2
6,16.5,0.4,450,80,250,279.5,0
7,9.5,4.8,250,45,250,500,1
8,28,4.2,150,40,250,500,2
9,13.5,3.6,400,25,250,500,2
10,7,0.6,200,95,250,500,1
11,3,0,250,45,0,500,1
12,30,5,500,100,5.934828516,500,2
13,30,0,150,20,1.99E-07,500,2
14,7.5,0,450,20,0,500,2
15,3,5,500,100,0.007326374,500,1
16,5.5,0,150,40,0,500,1
17,3,0,500,100,228.4736441,500,1
18,30,0,150,50,0,500,2
19,3,0,150,30,1.23E-26,500,1
20,3,0,350,30,2.73E-14,500,1
21,11.5,2.2,150,20,0,500,2
22,3,0,500,60,0,500,1
23,11.5,0.2,200,30,0,32.3,0
24,26,0,250,100,2.57E-14,198.5,0
25,30,0,500,20,1.66E-06,500,2
26,30,5,150,100,2.08E-10,500,2
27,16.5,0.3,450,80,292.7654509,286.5,0
28,14,1.3,250,100,0,500,1
29,3,0,150,20,2.90E-24,500,1
30,3,5,150,100,0.042387928,500,1
31,3,5,500,20,23.5146127,500,1
32,12,0.2,200,30,64.68533978,500,2
33,16.5,4.6,350,100,2.76E-09,500,2
34,30,0,500,100,325.0734425,500,2
35,20,5,450,20,9.503750305,500,2
36,30,0,150,100,171.6589385,500,2
37,3,2.1,350,50,0,500,1
38,17,0,250,25,0,500,2
39,17,5,500,65,9.92E-05,500,2
40,13.5,1.6,300,25,0,500,2
41,23,0,350,100,310.5121757,182.2,0
42,30,5,350,50,1.50E-11,500,2
43,17,0,300,50,139.9715771,500,2
44,4,2.6,150,55,0,500,1
45,30,3.4,500,20,65.19808852,500,2
46,30,2.8,350,100,0.000384083,500,2
47,3,5,150,20,42.49957528,500,1
48,8,0.4,200,25,0,500,2
49,17.5,0,300,20,0,500,2
50,10.5,0.1,200,30,0,46.2,0
51,3,2.7,500,100,70.83070924,500,1
52,10,1.1,200,70,0,205.7,0
53,30,1.9,300,20,3.91E-07,500,2
54,10.5,0.2,200,30,111.9266713,31.9,0
55,3,3.3,500,65,40.25868909,500,1
56,30,2.1,150,20,0,500,2
57,3,3.1,500,75,116.8968706,500,1
58,12,2.6,500,100,25.25951526,391.8,0
59,15,0,150,20,65.86388627,500,2
60,9.5,1,200,55,0,57.7,0
