Number,power (%),df (mm),frequency (kHz),speed (mm/s),predict_R (ohm),R(ohm),label
1,25.5,2.4,300,60,250,500,2
2,22.5,1.5,500,70,250,500,2
3,4,1,350,90,250,500,1
4,17,3,400,35,250,500,2
5,19.5,3.2,200,65,250,500,2
6,16.5,0.4,450,80,250,279.5,0
7,9.5,4.8,250,45,250,500,1
8,28,4.2,150,40,250,500,2
9,13.5,3.6,400,25,250,500,2
10,7,0.6,200,95,250,500,1
11,3,0,250,45,0,500,1
12,30,5,500,100,5.934828516,500,2
13,30,0,150,20,1.99E-07,500,2
14,7.5,0,450,20,0,500,2
15,3,5,500,100,0.007326374,500,1
16,5.5,0,150,40,0,500,1
17,3,0,500,100,228.4736441,500,1
18,30,0,150,50,0,500,2
19,3,0,150,30,1.23E-26,500,1
20,3,0,350,30,2.73E-14,500,1
21,11.5,2.2,150,20,0,500,2
22,3,0,500,60,0,500,1
23,11.5,0.2,200,30,0,32.3,0
24,26,0,250,100,2.57E-14,198.5,0
25,30,0,500,20,1.66E-06,500,2
26,30,5,150,100,2.08E-10,500,2
27,16.5,0.3,450,80,292.7654509,286.5,0
28,14,1.3,250,100,0,500,1
29,3,0,150,20,2.90E-24,500,1
30,3,5,150,100,0.042387928,500,1
31,3,5,500,20,23.5146127,500,1
32,12,0.2,200,30,64.68533978,500,2
33,16.5,4.6,350,100,2.76E-09,500,2
34,30,0,500,100,325.0734425,500,2
35,20,5,450,20,9.503750305,500,2
36,30,0,150,100,171.6589385,500,2
37,3,2.1,350,50,0,500,1
38,17,0,250,25,0,500,2
39,17,5,500,65,9.92E-05,500,2
40,13.5,1.6,300,25,0,500,2
41,23,0,350,100,310.5121757,182.2,0
42,30,5,350,50,1.50E-11,500,2
43,17,0,300,50,139.9715771,500,2
44,4,2.6,150,55,0,500,1
45,30,3.4,500,20,65.19808852,500,2
46,30,2.8,350,100,0.000384083,500,2
47,3,5,150,20,42.49957528,500,1
48,8,0.4,200,25,0,500,2
49,17.5,0,300,20,0,500,2
50,10.5,0.1,200,30,0,46.2,0
51,3,2.7,500,100,70.83070924,500,1
52,10,1.1,200,70,0,205.7,0
53,30,1.9,300,20,3.91E-07,500,2
54,10.5,0.2,200,30,111.9266713,31.9,0
55,3,3.3,500,65,40.25868909,500,1
56,30,2.1,150,20,0,500,2
57,3,3.1,500,75,116.8968706,500,1
58,12,2.6,500,100,25.25951526,391.8,0
59,15,0,150,20,65.86388627,500,2
60,9.5,1,200,55,0,57.7,0
61,3,2.1,500,20,46.58387707,500,1
62,3,4,300,90,0.360627544,500,1
63,10,0.2,200,35,0,69.9,0
64,30,0,400,60,0.001276921,500,2
65,15.5,5,150,100,45.44354433,500,2
66,30,0,300,100,0,500,2
67,10.5,0.1,150,20,0,500,2
68,3,1.9,500,35,3.39E-15,500,1
69,9.5,0.4,300,45,0,68.6,0
70,3,5,300,100,76.31750882,500,1
71,3,2.7,300,20,0,500,1
72,27.5,2.7,150,100,0,500,2
73,11,0.2,200,30,45.90648429,25.2,0
74,30,3.6,500,65,0.002066194,500,2
75,25.5,2.5,150,100,0.050918392,117.5,0
76,14,0,200,70,84.35721589,306.1,0
77,10,2,250,20,0,500,2
78,3,2.4,150,20,0,500,1
79,10,0.7,250,50,118.5616392,56.2,0
80,8,1.1,200,20,0,500,2
81,10.5,0.2,200,30,41.27032449,38.6,0
82,14,0,500,100,188.2623137,500,1
83,30,5,250,20,170.0688832,500,2
84,18,0,500,40,39.15211451,500,2
85,20.5,5,250,20,0.248072739,500,2
86,3,5,400,55,0.00458386,500,1
87,18,0,250,85,0,214.5,0
88,10,0.9,250,55,93.94510965,53,0
89,21.5,2,150,100,0,171.2,0
90,6,0.1,200,35,0,326.7,0
91,9.5,0.2,200,30,0,43.1,0
92,21,1.2,150,70,0,156.5,0
93,25,2.8,500,100,0.00849174,500,1
94,18.5,0,150,100,256.551372,500,1
95,30,5,300,100,125.9378267,500,2
96,15,0.6,150,55,156.0169596,241.7,0
97,11,1.2,250,55,91.81625015,67,0
98,12.5,2.4,350,75,6.520305007,270.2,0
99,10,0,250,40,0,234.6,0
100,3,2.1,250,80,4.02E-15,500,1
101,7.5,0.1,200,30,0,133.5,0
102,3,2.2,150,100,4.23E-15,500,1
103,12.5,2.9,150,100,36.76195157,372.1,0
104,19,5,300,65,0.010066168,500,2
105,10.5,0.9,250,50,62.98538495,59.9,0
106,24,1.3,200,90,68.87059395,146.1,0
107,13.5,1,150,65,0,195.8,0
108,16,1.9,150,80,231.1173262,200.7,0
109,3.5,0,250,25,0,500,1
110,9,2.9,150,100,1.43E-08,500,1
111,13,0,250,20,0,500,2
112,11,0.9,250,55,59.40097546,70.1,0
113,21,1.8,500,20,3.24E-08,500,2
114,22,2.8,150,95,0,162,0
115,16,5,500,100,103.3685275,500,2
116,10,0.2,200,30,45.75445429,500,2
117,23.5,0,350,55,0,500,2
118,3,4.8,350,20,6.16E-14,500,1
119,10,0.9,350,55,69.10076637,53.6,0
120,3,3.9,400,25,15.44788347,500,1
121,3.5,5,150,65,0,500,1
122,8.5,0.2,200,30,0,71.1,0
123,29,2.1,150,65,68.41605717,500,2
124,9.5,5,150,65,85.46502946,500,2
125,30,1.9,450,45,0.018386963,500,2
126,8,1.3,200,40,0,500,2
127,5,0.8,200,30,0,40.9,0
128,25,1.9,150,75,132.2122332,61.9,0
129,10,0.9,300,55,57.70169463,70.3,0
130,3.5,4.2,150,65,0,500,1
131,9,0.2,200,30,0,123.9,0
132,10,0.7,300,50,69.48862584,95.6,0
133,11,1.4,450,60,45.96378418,89.2,0
134,23.5,1.8,150,85,23.74258036,131.2,0
135,21,4.7,150,20,0,500,2
136,21.5,3.5,400,75,0.000115937,70,0
137,3,1.1,200,30,0,500,1
138,9.5,1.2,500,70,81.68668195,117,0
139,12.5,2,500,55,51.76768664,34.6,0
140,3,0,300,55,0,500,1
141,7.5,4.9,400,85,7.60E-15,500,1
142,8,0.3,200,30,0,109,0
143,13,1.9,450,65,109.6114722,125.3,0
144,10.5,0.9,250,55,65.13712254,117.7,0
145,21.5,3,250,30,0.000154336,500,2
146,19,1.8,400,100,0.033933964,500,1
147,7,1.5,350,20,0,500,2
148,12.5,1.1,350,65,138.0040798,88.9,0
149,12,1.9,500,60,74.23512945,116.1,0
150,7.5,0.8,300,40,0,101,0
