Number,power (%),df (mm),frequency (kHz),speed (mm/s),predict_R (ohm),predict_avg_GF,R(ohm),avg_GF,R after fatigue 2%,Rmax
1,9.5,0.1,150,35,-292.5383681,0,190,0,210,310.3
2,12.5,1.8,500,55,27.37589914,0,59.1,0,70.8,N/A
3,25.5,4.4,350,90,86.79733838,0,46.6,0,68,N/A
4,25,2,150,85,23.14438429,0,83.2,68.82268925,98.02,165.48
5,7,2.3,150,20,-96.89618409,0,500,0,N/A,N/A
6,9.5,3.2,250,65,12.36557438,0,11.3,14.58333333,14.4,16.5
7,27,0,500,100,427.338527,0,152.8,0,196,650
8,7,1.2,250,30,-201.4788697,0,500,0,N/A,N/A
9,22.5,0,500,100,326.6694202,196.7310835,247.4,0,400,1310
10,28,0,500,100,459.4671803,222.6728768,130.8,0,173.9,473.4
11,17,0,450,100,376.0447909,374.1819618,404.5,0,454,538.3
12,25,0,150,100,195.0802427,101.3389517,500,0,500,N/A
13,11.5,1.3,350,55,41.27580971,6.06E-13,55.8,106.8965517,58,120
14,11,0.4,200,30,-3.026253395,0.033499385,17.9,375.6410256,23.4,111.3
15,21.5,3.5,400,75,70.02679662,26.03529382,76.1,0,237.4,452.2
16,27,0,400,100,376.6480819,179.8814395,124.6,0,149.9,246.8
17,11.5,0.5,200,30,52.92815658,326.3673053,500,0,N/A,N/A
18,3.5,5,500,100,499.3342959,0,500,0,N/A,N/A
19,19,2.5,300,20,513.0676429,500,500,0,N/A,N/A
20,12.5,0.9,250,55,82.18754649,104.5061298,55.7,184.6153846,66.3,188.7
21,5.5,5,500,20,491.6628634,0,500,0,N/A,N/A
22,23,4.9,150,20,476.5902779,318.0873067,500,0,N/A,N/A
23,19,1.1,200,30,515.6594107,500,500,0,N/A,N/A
24,26.5,0,200,20,481.1756599,500,500,0,N/A,N/A
25,5,5,150,20,485.7832395,0,500,0,N/A,N/A
26,30,1.3,500,20,491.6917463,500,500,0,N/A,N/A
27,10.5,0.4,200,30,51.42264643,462.6667714,37.8,178.7581699,61.2,170.6
28,4.5,0,250,65,513.8682231,478.6944197,500,0,N/A,N/A
29,3,0,500,20,492.5508801,165.5948637,500,0,N/A,N/A
30,27,2,200,35,493.723942,500,500,0,N/A,N/A
31,4,5,150,100,494.4705405,0,500,0,N/A,N/A
32,11,0.9,250,55,70.24717369,50.67665439,62.6,98.43356643,71.5,141.88
33,9,3.3,250,65,13.02186773,6.43E-23,17.2,0,20,N/A
34,7,2,500,55,38.0122388,459.1314679,21.8,172.826087,28.52,77.81
35,3,0.2,500,100,501.002743,0,500,0,N/A,N/A
36,14.5,0,500,20,305.0268368,0,500,0,N/A,N/A
37,7,0.6,200,30,67.87713677,500,110,0,100,N/A
38,10.5,2,300,100,304.0336174,30.26005119,500,0,N/A,N/A
39,9.5,0.4,300,45,68.65503583,46.94786623,117.2,0,N/A,N/A
40,10.5,0.4,150,40,-424.1154675,500,159.6,0,N/A,N/A
